age,income,loan_amount,term_months,credit_score,num_of_defaults,employment_years,home_ownership,purpose,monthly_payment,dti,prob_default,default
59,33280,10632,60,647,0,8,RENT,home_improvement,111.06,0.04,0.1072,0
38,75487,15014,36,627,0,21,OWN,home_improvement,390.27,0.062,0.1176,0
24,30207,28042,60,572,1,9,OWN,other,491.59,0.1953,0.4955,1
45,45121,7141,36,696,0,0,MORTGAGE,debt_consolidation,194.61,0.0518,0.1117,1
34,57726,1000,48,622,0,21,RENT,other,-7.73,-0.0016,0.065,0
29,42242,15643,48,664,1,15,RENT,debt_consolidation,365.13,0.1037,0.2282,1
46,14479,23662,36,785,0,10,MORTGAGE,debt_consolidation,553.45,0.4587,0.7697,1
22,68548,11065,48,612,0,23,RENT,debt_consolidation,265.5,0.0465,0.1136,0
40,37530,38830,36,629,0,7,RENT,debt_consolidation,1031.13,0.3297,0.7655,1
48,64897,36474,48,638,0,29,OWN,credit_card,632.08,0.1169,0.1747,0
67,24717,14275,60,622,0,25,RENT,major_purchase,345.69,0.1678,0.227,0
27,28131,16867,36,624,0,12,RENT,other,470.4,0.2007,0.4001,0
64,67248,28687,48,698,0,15,RENT,other,636.08,0.1135,0.2041,0
28,56810,14101,24,742,0,2,RENT,major_purchase,641.32,0.1355,0.1635,0
67,41228,6959,24,659,1,12,OWN,home_improvement,243.73,0.0709,0.1634,0
55,57100,23889,48,701,1,16,RENT,credit_card,484.68,0.1019,0.2706,0
34,30919,19644,24,637,0,20,MORTGAGE,other,816.72,0.317,0.4429,0
37,52205,6926,48,636,0,5,MORTGAGE,home_improvement,109.15,0.0251,0.0798,0
56,52571,17791,36,622,0,9,RENT,debt_consolidation,553.61,0.1264,0.2165,1
60,42524,13399,36,596,0,8,MORTGAGE,home_improvement,438.77,0.1238,0.2251,0
24,33294,11149,24,736,0,17,MORTGAGE,credit_card,458.07,0.1651,0.1412,0
22,51404,7141,36,614,0,29,OWN,credit_card,223.3,0.0521,0.0746,0
26,48900,16214,60,692,0,16,OTHER,other,312.96,0.0768,0.0906,0
62,40683,12341,48,591,0,6,RENT,home_improvement,271.18,0.08,0.2124,0
24,29323,17847,60,653,0,1,MORTGAGE,other,268.64,0.1099,0.2144,0
49,50249,23198,12,649,0,10,OWN,other,1809.0,0.432,0.8293,0
38,40733,17315,48,591,0,17,RENT,debt_consolidation,365.45,0.1077,0.2245,1
46,29306,17486,48,625,0,2,MORTGAGE,debt_consolidation,404.05,0.1654,0.3202,1
64,50870,9588,36,575,0,13,OWN,debt_consolidation,219.14,0.0517,0.1269,0
54,82166,26743,48,651,0,19,RENT,other,565.73,0.0826,0.1692,0
30,42663,6514,48,526,0,12,RENT,debt_consolidation,157.99,0.0444,0.1485,0
56,79955,1000,36,645,0,22,MORTGAGE,home_improvement,50.33,0.0076,0.0435,0
34,92286,4290,48,695,0,16,MORTGAGE,credit_card,95.62,0.0124,0.0482,0
51,30931,25342,36,649,0,28,OWN,home_improvement,653.98,0.2537,0.3692,0
68,50180,19588,36,600,0,21,OWN,debt_consolidation,604.41,0.1445,0.247,0
35,92074,28119,36,604,0,10,RENT,debt_consolidation,778.84,0.1015,0.2418,0
28,47578,1769,60,734,0,6,RENT,debt_consolidation,2.63,0.0007,0.0594,0
34,50736,38202,36,661,0,2,MORTGAGE,credit_card,979.07,0.2316,0.48,1
43,16599,12163,36,709,0,2,MORTGAGE,debt_consolidation,358.07,0.2589,0.377,0
60,39366,1000,48,715,0,1,OWN,small_business,143.65,0.0438,0.0841,0
41,61111,36957,48,618,0,20,OTHER,debt_consolidation,758.17,0.1489,0.2488,1
36,98585,1898,48,579,0,15,MORTGAGE,home_improvement,15.18,0.0018,0.0655,1
65,46079,11021,12,695,0,22,RENT,other,917.79,0.239,0.3261,0
38,16747,12942,48,589,0,10,RENT,home_improvement,265.85,0.1905,0.3108,0
67,21895,19440,36,608,1,27,RENT,debt_consolidation,521.62,0.2859,0.6364,0
44,49284,7086,36,657,0,13,OWN,small_business,300.61,0.0732,0.1519,0
46,73544,25393,48,632,1,2,MORTGAGE,debt_consolidation,531.24,0.0867,0.3317,0
45,62747,22536,48,488,1,6,RENT,debt_consolidation,404.35,0.0773,0.4474,1
65,59205,15190,60,563,0,7,MORTGAGE,debt_consolidation,194.28,0.0394,0.1402,0
61,76182,28243,48,720,0,12,OWN,debt_consolidation,645.36,0.1017,0.1546,0
49,35595,14321,48,644,0,18,MORTGAGE,home_improvement,312.56,0.1054,0.1402,0
35,50381,12243,36,701,1,10,RENT,credit_card,322.5,0.0768,0.2195,1
65,39592,34981,24,593,0,0,RENT,credit_card,1435.8,0.4352,0.9129,1
21,44570,17957,60,572,0,18,OWN,debt_consolidation,334.14,0.09,0.1758,0
45,29874,5143,36,700,1,12,MORTGAGE,credit_card,103.4,0.0415,0.135,1
27,43120,6497,48,740,0,21,MORTGAGE,debt_consolidation,127.87,0.0356,0.054,0
29,49445,15189,48,588,0,16,OWN,debt_consolidation,352.87,0.0856,0.1618,0
44,42570,1000,24,721,1,8,RENT,debt_consolidation,4.51,0.0013,0.0997,0
21,46778,8670,60,581,0,18,RENT,home_improvement,208.09,0.0534,0.1408,0
64,58100,13996,48,535,1,18,MORTGAGE,home_improvement,209.7,0.0433,0.2386,0
28,74773,13328,48,691,0,27,RENT,debt_consolidation,279.58,0.0449,0.0726,0
44,76223,2425,12,583,0,22,OWN,other,205.89,0.0324,0.0823,0
31,65228,10514,36,565,1,22,OWN,debt_consolidation,185.86,0.0342,0.1476,0
37,24800,26798,24,566,0,28,RENT,home_improvement,1079.45,0.5223,0.8714,1
28,42791,24731,48,625,0,5,RENT,debt_consolidation,545.06,0.1529,0.3798,0
55,44514,15956,48,530,0,6,MORTGAGE,home_improvement,296.38,0.0799,0.2059,0
55,36857,14310,24,691,2,4,MORTGAGE,credit_card,583.03,0.1898,0.4841,1
53,56847,13383,48,683,0,7,MORTGAGE,credit_card,258.48,0.0546,0.0918,0
25,18113,17363,36,683,0,25,RENT,debt_consolidation,531.0,0.3518,0.5154,1
62,83871,16025,60,734,0,13,RENT,credit_card,284.22,0.0407,0.0799,0
59,73904,18241,36,717,1,17,OTHER,major_purchase,484.19,0.0786,0.1624,0
61,59564,20017,36,586,0,20,RENT,major_purchase,520.19,0.1048,0.2273,0
48,48757,2888,36,697,0,26,OWN,debt_consolidation,123.53,0.0304,0.0526,0
27,74576,11897,60,727,0,24,RENT,debt_consolidation,205.5,0.0331,0.0564,0
29,63788,16979,36,706,0,19,OWN,debt_consolidation,522.01,0.0982,0.1201,0
28,72132,5341,36,712,0,23,RENT,debt_consolidation,179.24,0.0298,0.0523,1
32,48818,8261,12,639,0,2,MORTGAGE,debt_consolidation,525.01,0.1291,0.1909,0
54,85786,12821,36,604,0,21,OTHER,debt_consolidation,409.75,0.0573,0.123,0
53,73337,13311,60,633,0,7,RENT,major_purchase,228.09,0.0373,0.1126,0
68,60190,17166,48,601,1,13,RENT,credit_card,369.93,0.0738,0.2423,0
43,75119,6519,36,720,0,24,OWN,major_purchase,80.78,0.0129,0.0399,1
44,41616,24680,36,663,0,13,RENT,major_purchase,661.2,0.1907,0.3784,1
57,26649,13229,36,707,0,28,OTHER,credit_card,370.39,0.1668,0.1226,0
55,56431,16451,60,548,0,6,RENT,credit_card,210.03,0.0447,0.1777,1
64,48858,11301,48,618,0,5,RENT,other,301.8,0.0741,0.1801,0
60,46045,17356,48,578,0,26,OWN,credit_card,398.91,0.104,0.1478,0
42,74326,31712,48,536,0,5,MORTGAGE,credit_card,640.59,0.1034,0.2718,0
47,53342,11208,60,670,0,11,OWN,other,277.49,0.0624,0.0882,0
55,55271,9555,60,575,1,21,RENT,debt_consolidation,177.74,0.0386,0.1981,1
21,43458,6698,12,623,0,14,RENT,home_improvement,626.78,0.1731,0.2634,0
55,67622,14403,60,581,0,25,RENT,debt_consolidation,199.25,0.0354,0.1208,0
57,64037,14287,60,621,0,24,RENT,small_business,262.02,0.0491,0.1278,0
67,67473,15514,36,691,0,18,MORTGAGE,major_purchase,498.07,0.0886,0.1086,0
34,40054,19682,60,583,1,3,RENT,credit_card,387.24,0.116,0.446,0
23,76081,18421,48,618,1,2,RENT,home_improvement,434.22,0.0685,0.2851,0
21,86775,14774,48,686,0,12,MORTGAGE,major_purchase,370.01,0.0512,0.0942,0
25,66840,34538,36,697,0,24,RENT,credit_card,1035.76,0.186,0.3094,0
46,33814,21906,48,622,0,15,MORTGAGE,other,340.99,0.121,0.2303,0
34,33955,4107,12,670,1,12,MORTGAGE,credit_card,320.94,0.1134,0.2151,0
59,42492,1000,60,707,0,29,RENT,other,-70.45,-0.0199,0.0377,0
47,38712,8043,60,576,1,20,MORTGAGE,credit_card,47.61,0.0148,0.1527,0
29,48578,16526,48,600,0,29,OWN,credit_card,318.22,0.0786,0.1325,0
35,62648,7205,36,623,1,9,OWN,debt_consolidation,178.7,0.0342,0.1713,0
35,55799,8723,48,681,0,12,MORTGAGE,debt_consolidation,249.77,0.0537,0.0789,0
46,54045,15260,36,663,0,7,MORTGAGE,other,364.31,0.0809,0.1288,0
62,45175,11580,48,654,0,11,RENT,credit_card,250.21,0.0665,0.1446,1
33,48523,1000,48,578,0,7,RENT,credit_card,100.7,0.0249,0.1165,0
52,65931,25771,24,710,0,8,RENT,credit_card,1066.14,0.194,0.3005,1
59,9760,23449,24,615,0,9,MORTGAGE,debt_consolidation,1074.64,1.3213,1.0,1
69,49772,2148,48,631,0,6,MORTGAGE,credit_card,-49.01,-0.0118,0.0709,1
52,55759,15568,36,663,0,2,RENT,debt_consolidation,389.98,0.0839,0.1733,0
24,65671,3834,60,788,1,4,RENT,other,141.05,0.0258,0.1074,0
50,29799,8912,36,605,0,2,MORTGAGE,credit_card,213.7,0.0861,0.173,0
57,28741,19861,12,601,0,17,RENT,small_business,1643.09,0.686,0.8654,1
43,61679,23100,48,623,0,18,RENT,home_improvement,564.82,0.1099,0.1862,1
59,11910,22866,48,731,0,27,RENT,debt_consolidation,509.6,0.5134,0.8778,1
65,76643,17448,48,660,0,9,RENT,other,281.28,0.044,0.1447,0
35,54531,27752,48,676,0,8,OTHER,debt_consolidation,609.03,0.134,0.2523,0
63,81174,8894,36,706,0,24,OTHER,credit_card,211.72,0.0313,0.0517,0
49,28258,11113,48,728,0,23,RENT,debt_consolidation,206.86,0.0878,0.0895,0
56,41272,1000,12,603,0,6,OTHER,credit_card,78.66,0.0229,0.1005,0
33,8000,14069,36,686,0,0,RENT,debt_consolidation,361.88,0.5428,0.991,1
52,34086,20796,36,730,0,24,MORTGAGE,home_improvement,602.16,0.212,0.2369,0
27,46323,17852,24,664,0,9,RENT,other,700.25,0.1814,0.289,1
42,10745,8759,36,592,0,1,MORTGAGE,home_improvement,258.49,0.2887,0.546,0
48,42107,23445,36,578,0,5,RENT,debt_consolidation,689.09,0.1964,0.4914,1
22,10253,14261,60,681,0,25,RENT,home_improvement,234.37,0.2743,0.3756,0
62,44850,22664,36,569,0,20,MORTGAGE,other,633.02,0.1694,0.3048,0
65,72942,19861,36,593,0,5,RENT,debt_consolidation,556.21,0.0915,0.2604,1
26,49300,29245,60,615,0,23,OTHER,debt_consolidation,493.85,0.1202,0.2182,0
48,83164,18393,36,669,0,7,RENT,debt_consolidation,505.76,0.073,0.1468,0
48,65725,21099,36,690,0,25,RENT,credit_card,578.52,0.1056,0.138,0
64,76962,14232,36,600,0,17,MORTGAGE,home_improvement,389.24,0.0607,0.1327,0
64,34701,9971,36,559,0,6,OWN,home_improvement,286.28,0.099,0.1889,0
40,34217,19907,36,707,0,17,RENT,credit_card,531.35,0.1863,0.2853,1
50,56912,30027,36,697,0,0,RENT,home_improvement,826.76,0.1743,0.3922,1
31,18445,8841,60,682,0,27,OWN,home_improvement,196.93,0.1281,0.1258,0
48,59422,12518,36,676,0,23,RENT,home_improvement,448.06,0.0905,0.113,1
45,43521,15266,36,622,0,24,OWN,debt_consolidation,547.11,0.1509,0.1667,0
59,76599,21848,48,637,1,13,OWN,debt_consolidation,461.86,0.0724,0.205,0
53,63590,18454,36,655,1,22,OWN,debt_consolidation,461.05,0.087,0.202,0
21,71934,24130,36,590,0,19,OTHER,small_business,658.1,0.1098,0.2389,0
47,34915,34739,60,676,1,6,OWN,major_purchase,586.27,0.2015,0.4837,0
33,70964,8610,60,658,0,19,RENT,debt_consolidation,197.61,0.0334,0.0782,0
61,78894,21097,48,640,0,6,RENT,debt_consolidation,403.65,0.0614,0.1759,0
23,49225,18206,36,713,2,3,OWN,major_purchase,499.52,0.1218,0.4135,0
59,35212,15190,60,642,1,29,RENT,credit_card,202.62,0.0691,0.1794,1
26,35564,21060,36,696,0,29,RENT,debt_consolidation,668.32,0.2255,0.2507,1
28,74780,12331,36,566,2,24,MORTGAGE,debt_consolidation,369.66,0.0593,0.3444,0
47,103686,18230,36,708,1,4,MORTGAGE,debt_consolidation,488.65,0.0566,0.1792,0
29,30367,1947,48,692,0,22,OWN,credit_card,43.77,0.0173,0.0409,0
57,28829,9611,24,801,2,26,OWN,debt_consolidation,332.96,0.1386,0.1958,0
53,68428,25475,48,762,0,23,RENT,home_improvement,553.46,0.0971,0.1047,0
62,34921,25090,60,715,0,20,OWN,other,437.43,0.1503,0.1637,0
64,70367,17594,36,612,1,0,MORTGAGE,debt_consolidation,400.16,0.0682,0.2897,1
44,59306,10469,48,588,1,19,MORTGAGE,debt_consolidation,181.64,0.0368,0.1872,1
35,49520,23252,36,599,0,2,RENT,debt_consolidation,630.94,0.1529,0.3413,0
52,58825,27364,36,685,1,12,MORTGAGE,credit_card,745.66,0.1521,0.3812,1
52,57603,10876,36,740,0,6,MORTGAGE,home_improvement,276.78,0.0577,0.0933,0
44,46407,1000,48,565,0,5,RENT,debt_consolidation,27.21,0.007,0.1071,0
61,14872,19491,36,590,0,5,RENT,debt_consolidation,611.13,0.4931,0.8227,1
69,53573,24137,60,652,0,1,MORTGAGE,home_improvement,426.23,0.0955,0.2002,0
69,81461,20874,60,570,0,15,OWN,major_purchase,406.81,0.0599,0.1753,0
32,17824,30650,60,620,0,5,MORTGAGE,debt_consolidation,529.06,0.3562,0.6036,0
59,30684,30693,36,737,0,7,RENT,debt_consolidation,836.63,0.3272,0.5827,1
22,58536,11946,12,700,0,20,RENT,credit_card,986.64,0.2023,0.2605,0
23,50771,16989,36,708,0,24,RENT,debt_consolidation,512.05,0.121,0.1457,0
69,58223,10034,48,581,0,10,OWN,debt_consolidation,236.07,0.0487,0.1262,0
57,36013,4779,60,527,0,17,OWN,major_purchase,146.31,0.0488,0.1252,0
69,73249,5365,48,619,0,22,MORTGAGE,debt_consolidation,112.12,0.0184,0.0676,0
37,50938,22170,48,487,0,5,MORTGAGE,small_business,392.1,0.0924,0.382,0
69,63939,18028,12,681,0,13,OTHER,home_improvement,1492.59,0.2801,0.388,0
22,56405,23899,60,702,0,14,RENT,debt_consolidation,323.69,0.0689,0.1355,0
22,53509,40316,36,595,0,10,RENT,credit_card,1113.16,0.2496,0.5633,0
48,62536,19998,24,690,0,26,RENT,home_improvement,774.56,0.1486,0.2105,1
43,53729,7120,60,690,0,14,OWN,debt_consolidation,114.01,0.0255,0.0574,0
57,26196,25351,48,571,1,12,RENT,debt_consolidation,535.52,0.2453,0.6071,1
52,71747,6934,24,622,0,5,OWN,credit_card,282.86,0.0473,0.1042,0
53,66362,32483,36,617,0,3,RENT,home_improvement,888.53,0.1607,0.4538,0
21,8000,1000,24,715,0,13,RENT,credit_card,22.47,0.0337,0.0704,1
39,36915,9534,48,701,0,12,OWN,debt_consolidation,255.3,0.083,0.0994,0
22,70847,21221,36,690,0,9,RENT,other,603.57,0.1022,0.2061,0
64,13461,26775,60,610,1,24,MORTGAGE,home_improvement,370.22,0.33,0.786,1
46,68871,8230,36,745,0,21,MORTGAGE,home_improvement,235.26,0.041,0.0503,0
52,47175,6417,36,662,0,28,RENT,home_improvement,254.14,0.0646,0.0877,0
26,76805,16483,24,684,1,11,MORTGAGE,debt_consolidation,663.72,0.1037,0.2603,0
52,49977,34089,36,771,0,23,OWN,other,927.68,0.2227,0.2397,1
24,35558,1000,48,696,0,7,OWN,debt_consolidation,52.43,0.0177,0.0577,0
31,56161,11858,48,641,0,19,RENT,home_improvement,204.28,0.0436,0.1127,0
37,49392,17601,36,615,0,4,MORTGAGE,credit_card,429.88,0.1044,0.2177,1
58,33782,7040,36,528,0,1,RENT,other,117.31,0.0417,0.1632,0
44,94366,7006,60,540,0,19,RENT,home_improvement,150.76,0.0192,0.1013,0
25,30578,12666,36,709,0,11,RENT,credit_card,395.31,0.1551,0.2252,1
54,8000,17927,24,511,0,5,OWN,other,717.69,1.0765,0.858,1
26,81633,13049,36,720,1,29,OWN,other,304.74,0.0448,0.1083,0
42,38328,29655,48,706,0,14,MORTGAGE,debt_consolidation,661.31,0.207,0.278,1
31,44064,20926,12,589,1,17,MORTGAGE,debt_consolidation,1737.55,0.4732,0.918,1
68,42841,18831,36,662,0,17,OTHER,home_improvement,422.74,0.1184,0.1623,0
36,38606,25276,48,690,0,9,MORTGAGE,other,545.18,0.1695,0.2458,0
53,34676,19008,60,656,0,6,RENT,credit_card,331.37,0.1147,0.1919,1
29,30063,10568,36,736,0,9,OWN,debt_consolidation,362.98,0.1449,0.134,0
26,51295,12368,36,552,1,4,OWN,home_improvement,385.52,0.0902,0.3389,0
36,41960,3705,36,685,0,15,OWN,debt_consolidation,147.71,0.0422,0.0663,0
49,64607,35048,36,607,0,28,OWN,credit_card,929.68,0.1727,0.2805,0
23,59653,24307,36,528,0,18,MORTGAGE,debt_consolidation,607.55,0.1222,0.2351,1
40,31449,1000,48,568,0,2,RENT,credit_card,46.46,0.0177,0.1188,0
56,52170,28331,60,613,1,6,MORTGAGE,other,473.11,0.1088,0.3723,0
39,41643,1000,60,651,0,18,RENT,credit_card,48.99,0.0141,0.0587,1
46,30166,20206,36,586,0,11,RENT,debt_consolidation,567.56,0.2258,0.4016,1
23,63788,1000,48,614,0,9,OWN,credit_card,93.07,0.0175,0.0774,0
39,47573,10718,36,622,0,4,OWN,debt_consolidation,276.16,0.0697,0.1449,1
40,41848,28409,36,588,0,28,RENT,major_purchase,791.23,0.2269,0.3881,0
52,32888,28966,60,610,0,1,OWN,credit_card,451.11,0.1646,0.3437,1
27,29441,18067,60,690,0,2,OWN,home_improvement,257.37,0.1049,0.183,0
61,89775,22874,36,765,1,13,RENT,other,701.64,0.0938,0.2356,0
53,56682,1000,24,664,0,14,MORTGAGE,debt_consolidation,36.0,0.0076,0.0516,0
60,28177,20383,36,659,0,19,RENT,other,689.46,0.2936,0.4642,1
59,55757,23509,48,644,1,12,MORTGAGE,debt_consolidation,422.6,0.091,0.2917,1
38,71240,40697,60,622,0,16,RENT,home_improvement,683.14,0.1151,0.3364,0
60,53350,8767,24,690,0,19,OWN,debt_consolidation,373.33,0.084,0.0868,0
21,77480,15163,36,718,0,3,MORTGAGE,debt_consolidation,483.54,0.0749,0.1262,0
31,19143,15781,36,568,0,18,MORTGAGE,home_improvement,394.27,0.2472,0.4135,0
48,10173,21985,12,722,0,25,MORTGAGE,debt_consolidation,1802.28,2.126,0.9291,1
45,55210,23805,48,763,0,14,RENT,debt_consolidation,425.21,0.0924,0.1352,0
43,55529,25609,60,579,0,14,RENT,debt_consolidation,500.07,0.1081,0.2622,0
51,8000,24879,36,714,0,8,OWN,credit_card,605.0,0.9075,0.9224,1
50,37528,1000,36,764,0,2,RENT,debt_consolidation,33.83,0.0108,0.0511,0
62,29826,1000,24,700,0,1,MORTGAGE,credit_card,166.55,0.067,0.1045,0
55,22161,9856,36,637,0,6,RENT,home_improvement,330.66,0.1791,0.3361,0
27,29779,14645,36,704,0,8,RENT,credit_card,468.38,0.1887,0.2393,0
36,61915,8867,36,593,0,21,OWN,debt_consolidation,331.99,0.0643,0.1145,0
46,29651,10403,36,628,0,29,MORTGAGE,home_improvement,297.63,0.1205,0.1149,0
68,30337,11637,36,598,1,4,RENT,home_improvement,331.59,0.1312,0.4214,1
69,17623,20774,48,555,0,16,MORTGAGE,credit_card,432.65,0.2946,0.626,1
22,75378,4663,36,652,0,2,OWN,home_improvement,125.67,0.02,0.0776,1
21,58692,14221,48,671,1,8,MORTGAGE,debt_consolidation,265.65,0.0543,0.1706,1
68,8000,14298,48,696,0,7,OWN,home_improvement,367.01,0.5505,0.9296,1
32,30355,20546,60,336,0,8,MORTGAGE,debt_consolidation,316.1,0.125,0.5103,1
25,60570,26619,12,662,0,23,RENT,debt_consolidation,2204.13,0.4367,0.7329,1
57,75627,31841,48,655,0,16,MORTGAGE,debt_consolidation,597.13,0.0947,0.1942,1
52,66816,7540,24,573,0,23,OWN,small_business,355.68,0.0639,0.1611,0
29,42886,1000,60,618,0,7,RENT,credit_card,96.3,0.0269,0.1004,0
61,11372,12580,48,702,0,20,RENT,other,150.53,0.1588,0.1591,1
55,67404,1000,36,656,0,13,MORTGAGE,other,105.16,0.0187,0.0623,0
39,44062,42345,36,648,2,21,RENT,other,1213.16,0.3304,0.9298,1
68,51377,6271,60,712,1,15,RENT,debt_consolidation,168.04,0.0392,0.1183,1
36,46451,20638,60,812,1,17,RENT,home_improvement,362.64,0.0937,0.1447,0
23,22889,24340,60,633,0,16,RENT,credit_card,435.69,0.2284,0.3895,0
40,57285,18406,60,667,1,23,OWN,credit_card,323.38,0.0677,0.1412,0
44,54529,35767,60,587,0,6,RENT,debt_consolidation,546.15,0.1202,0.3794,1
53,41484,12975,48,800,0,19,RENT,debt_consolidation,264.26,0.0764,0.0672,0
44,59422,6651,12,612,1,14,RENT,home_improvement,529.76,0.107,0.2999,1
31,22520,6133,24,523,1,26,OWN,other,309.84,0.1651,0.3328,0
69,44619,22500,48,693,0,27,OWN,credit_card,455.28,0.1224,0.1516,0
28,50522,13102,36,537,0,6,RENT,debt_consolidation,388.37,0.0922,0.2582,0
56,15301,6135,48,740,0,1,OWN,other,73.41,0.0576,0.0719,0
58,48858,19413,36,691,0,26,RENT,debt_consolidation,631.39,0.1551,0.2047,0
60,64672,22092,48,578,1,1,MORTGAGE,other,473.3,0.0878,0.3476,0
40,43935,17713,36,696,0,6,RENT,other,424.34,0.1159,0.2005,0
55,49317,23995,36,626,0,18,MORTGAGE,credit_card,717.04,0.1745,0.308,1
68,61246,15880,36,679,0,5,RENT,home_improvement,453.66,0.0889,0.1706,0
45,42243,9063,36,560,1,29,MORTGAGE,home_improvement,291.31,0.0828,0.2199,0
55,44044,23114,60,556,0,27,RENT,home_improvement,542.69,0.1479,0.2683,0
45,26465,6099,36,672,0,11,RENT,debt_consolidation,226.7,0.1028,0.1557,0
49,49701,3711,60,781,0,14,OWN,home_improvement,116.55,0.0281,0.0378,0
38,43303,26559,36,604,1,12,MORTGAGE,debt_consolidation,719.99,0.1995,0.5789,1
66,59981,11521,36,599,2,6,RENT,home_improvement,325.39,0.0651,0.3729,1
38,61269,31656,12,626,1,6,OWN,credit_card,2620.18,0.5132,0.8822,1
22,65824,23565,24,557,0,14,RENT,debt_consolidation,916.36,0.1671,0.4294,1
55,39834,10761,24,688,0,25,MORTGAGE,small_business,426.92,0.1286,0.1376,1
36,8000,19862,24,713,1,3,MORTGAGE,credit_card,884.34,1.3265,0.9262,1
61,64832,40283,60,683,1,2,RENT,credit_card,690.48,0.1278,0.4752,0
56,58622,22542,60,638,0,0,MORTGAGE,debt_consolidation,317.37,0.065,0.1952,1
53,37294,20816,60,578,0,6,RENT,credit_card,341.54,0.1099,0.2978,0
24,61098,9052,60,794,0,8,MORTGAGE,debt_consolidation,111.59,0.0219,0.0428,0
53,21028,33445,36,589,0,0,OWN,debt_consolidation,952.34,0.5435,1.0,1
34,70604,28179,36,588,1,4,OWN,debt_consolidation,748.54,0.1272,0.428,0
41,43327,9144,24,524,2,14,RENT,debt_consolidation,353.25,0.0978,0.5709,1
68,33421,33804,24,550,0,3,OTHER,credit_card,1344.22,0.4827,0.942,1
40,37565,16647,48,674,1,9,MORTGAGE,credit_card,430.04,0.1374,0.3036,0
28,45370,6596,60,620,0,1,MORTGAGE,credit_card,107.32,0.0284,0.107,0
